elkYear,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
100_2,3-30,5-6,10-17,11-19
101_2,,,,
102_2,4-22,5-3,11-25,11-27
104_1,,,,
105_1,4-19,4-25,11-26,12-2
106_1,4-8,4-15,10-20,10-24
107_1,,,,
108_1,4-27,4-30,9-12,9-13
109_1,,,,
10_1,6-17,6-27,,
110_1,4-15,5-11,11-19,12-4
111_1,4-13,4-28,1-4,1-9
112_1,4-15,5-6,1-4,1-6
1132_1,4-1,4-15,11-23,12-8
1133_1,5-26,6-30,9-26,12-5
1137_1,4-1,4-22,11-22,12-18
1138_1,4-2,4-20,12-5,12-9
1139_1,,,,
113_1,4-13,5-7,12-17,12-19
1142_1,4-22,5-8,11-23,11-24
1143_1,4-27,4-30,10-5,10-9
1144_1,,,,
1147_1,5-3,5-10,11-23,12-29
1148_1,4-1,4-8,11-30,12-8
1149_1,6-30,7-2,11-11,11-20
114_1,4-27,5-17,,
1151_1,,,,
1152_1,5-18,7-20,8-22,10-10
1153_1,4-1,4-24,11-21,12-08
1154_1,3-31,4-29,12-5,12-21
1157_1,3-26,5-18,10-10,12-08
1158_1,4-26,5-16,10-1,10-25
1159_1,8-19,8-21,11-11,12-8
115_1,4-13,4-16,10-21,10-25
1160_1,,,,
1161_1,4-1,5-25,10-10,12-8
1162_1,4-10,4-13,11-17,12-8
1163_1,3-25,4-24,1-11,1-19
1164_1,2-23,2-26,12-4,12-8
1165_2,4-23,6-11,,
1166_3,5-17,5-26,10-20,10-28
1167_3,5-19,5-25,12-06,12-26
1169_6,6-30,7-18,9-29,10-4
116_1,4-13,4-15,12-9,12-13
1170_1,5-13,06-09,10-27,11-21
1171_1,7-1,8-8,10-1,10-22
1173_3,5-18,5-31,10-05,11-06
1174_2,4-21,5-19,,
1175_1,5-22,5-25,,
1176_2,5-2,06-08,11-08,12-4
1177_3,5-19,6-3,10-19,11-13
1178_3,6-6,6-11,10-9,11-8
117_1,4-28,5-2,11-10,12-2
1181_3,4-21,5-20,12-1,12-23
1182_1,5-20,6-4,10-29,11-28
1188_2,6-20,7-14,10-29,11-6
118_2,3-6,4-1,12-19,12-21
1195_2,6-7,6-12,9-12,9-17
1196_2,5-10,7-9,11-10,11-16
119_2,3-3,5-18,11-6,12-2
