elkYear,reclass,notes,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
10_1,disperser,,6-17,6-27,,
10_2,,,3-9,3-10,5-25,5-29
100_1,,,4-6,4-25,9-22,1-10
100_2,,,3-30,5-6,10-17,11-19
101_1,,,5-14,5-16,11-5,11-11
101_2,,,5-3,5-15,11-23,11-25
102_1,,,4-30,5-7,10-11,10-26
102_2,,,4-22,5-3,11-25,11-27
1132_1,,,4-1,4-15,11-23,12-8
1132_2,,,4-14,4-23,,
1133_1,disperser,,5-26,6-30,9-26,12-5
1133_2,disperser,,4-20,7-2,8-7,8-9
1137_1,,,4-1,4-22,11-22,12-18
1137_2,,no return,4-13,4-26,,
1138_1,,,4-2,4-20,12-5,12-9
1138_2,,no return,4-19,5-10,,
1139_1,,,8-20,8-21,10-9,10-10
1139_2,,,4-17,4-20,10-26,10-27
1142_1,,,4-22,5-8,11-23,11-24
1142_2,,,6-27,7-22,11-15,11-20
1143_1,,,4-27,4-30,1-8,1-19
1143_2,,no return,4-16,4-25,,
1144_1,,,8-20,8-22,10-2,10-4
1144_2,,no return,3-30,4-9,,
1147_1,,,5-3,5-10,11-23,12-29
1147_2,,no return,5-1,5-7,,
1148_1,,,4-1,4-8,11-30,12-8
1148_2,,,5-28,6-2,,
1149_1,,,6-30,7-2,11-11,11-20
1149_2,,,5-15,6-6,9-29,10-1
1151_1,,,8-21,8-22,10-2,10-8
1151_2,,no return,8-6,8-7,,
1152_1,,,5-18,7-20,8-22,10-10
1152_2,,,6-12,6-17,8-7,8-8
1153_1,,,4-1,4-24,11-21,12-08
1153_2,,no return,4-23,5-5,,
1154_1,,,3-21,4-29,12-5,12-21
1154_2,,no return,3-28,5-5,,
1157_1,,,3-26,5-18,10-10,12-08
1157_2,,no return,3-4,5-28,,
1159_1,,,8-19,8-21,11-11,12-8
1159_2,,no return,4-9,4-28,,
1160_1,,,8-22,8-23,10-1,10-6
1160_2,,,,,,
1161_1,,,3-13,5-25,10-10,12-8
1161_2,,no return,3-28,5-31,,
1162_1,,,4-10,4-13,11-17,12-8
1162_2,,no return,4-1,4-23,,
1163_1,,,3-25,4-24,1-11,1-19
1163_2,,no return,4-16,4-20,,
1164_1,,,5-2,5-13,12-4,12-8
1164_2,,no return,4-14,4-25,,
1165_1,,,5-19,7-2,10-14,11-27
1165_2,,no return,4-23,6-11,,
1166_1,,,5-2,5-31,10-30,11-13
1166_2,,,5-1,6-12,11-1,11-7
1166_3,,,5-17,5-26,10-20,10-28
1167_1,,,5-22,6-4,11-30,12-10
1167_2,,,6-12,7-4,12-20,1-2
1167_3,,,5-19,5-25,12-06,12-26
1169_3,,,7-1,7-4,11-15,11-21
1169_4,,,7-3,7-24,1-21,1-28
1170_1,,,5-13,06-09,10-27,11-21
1170_2,,no return,4-29,5-24,,
1173_1,,,5-19,6-17,10-28,12-11
1173_2,,,4-28,6-17,11-1,11-28
1173_3,,,5-18,5-31,10-05,11-06
1174_1,,,5-17,5-28,10-30,12-10
1174_2,,no return,4-21,5-19,,
1176_1,,,6-13,7-3,11-15,12-4
1176_2,,,5-2,06-08,11-08,12-4
1176_3,,no return,6-6,6-15,,
1178_1,,,5-15,6-13,10-29,11-13
1178_2,,,6-19,6-29,10-31,11-17
1178_3,,,6-6,6-11,10-9,11-8
118_1,,,4-18,5-27,12-2,12-5
118_2,,,3-6,4-1,12-19,12-21
1181_1,,,4-25,5-24,11-30,12-4
1181_2,,,3-28,5-3,12-20,12-31
1181_3,,,4-21,5-20,12-1,12-23
119_1,,,5-1,6-7,11-12,12-4
119_2,,,3-3,5-18,11-6,12-2
122_1,,,3-30,6-4,11-21,12-30
122_2,,,4-21,5-12,11-29,12-9
123_1,,,3-14,6-12,11-6,12-28
123_2,,no return,4-2,5-16,,
1233_1,,,4-16,4-22,11-6,12-17
1233_2,,,3-13,3-16,10-15,10-22
1233_3,,,4-1,4-5,10-10,10-14
1233_4,,,2-28,3-16,9-28,11-14
1233_5,,,5-4,5-7,10-15,11-19
1234_1,,,5-1,5-7,9-8,9-10
1234_2,,,3-14,3-18,7-25,7-30
1235_1,,,,,,
1235_2,,,,,,
1236_1,,,4-15,5-1,12-14,12-20
1236_2,,,2-4,4-16,10-27,12-27
1239_1,,,,,,
1239_2,,,,,,
1240_1,,,4-3,5-18,7-24,10-2
1240_2,,,4-29,5-1,10-2,10-5
1240_3,,,6-1,6-4,9-6,9-13
1240_4,,,4-8,4-22,7-11,9-17
1240_5,,,5-3,5-5,6-26,9-22
1245_1,,,4-30,5-3,11-10,11-17
1245_2,,,4-27,4-30,10-19,10-21
1246_1,,,4-20,5-7,11-8,12-21
1246_2,,,3-11,3-18,10-22,11-5
1248_1,,,,,,
1248_2,,,,,,
1248_3,,,,,,
1249_1,,,5-3,5-9,11-8,11-10
1249_2,,,5-4,5-16,9-23,10-13
1249_3,,,4-30,5-9,10-8,10-15
1249_4,,,4-6,6-27,9-4,10-19
1250_1,,,4-14,4-20,11-8,11-13
1250_2,,,3-9,3-14,10-16,10-20
1252_1,,,5-13,5-14,9-9,9-11
1252_2,,,5-18,5-25,8-29,9-8
1252_3,,,5-1,5-6,10-22,10-26
1253_1,,,,,,
1253_2,,,,,,
1294_1,,,5-3,7-5,10-22,10-24
1294_2,,no return,6-9,6-19,,
1306_1,,,5-19,5-24,11-4,11-27
1306_2,,,5-23,6-2,12-4,12-9
1311_1,disperser,,5-6,5-19,11-29,1-26
1311_2,,no return,3-18,5-2,,
134_1,,big mig after return,7-29,7-30,8-23,9-1
134_2,,no return,4-1,4-23,,
135_1,,same as 134,6-20,6-22,9-15,10-4
135_2,,,3-28,6-24,9-26,10-6
1358_1,,,6-18,6-30,7-28,8-3
1358_2,,no return,5-15,6-2,,
1359_1,,,4-29,6-6,9-23,11-2
1359_2,,no return,5-4,5-13,,
1368_1,,,5-5,5-13,11-7,11-25
1368_2,,no return,5-15,5-19,,
137_1,,,6-18,6-19,8-3,8-4
137_2,,,4-9,6-17,7-27,7-30
1379_1,,,5-3,5-6,10-29,11-12
1379_2,,,5-2,5-19,11-7,11-26
139_1,,,6-18,6-21,9-18,9-23
139_2,,,6-26,6-27,9-22,10-2
14_1,,,6-20,8-13,9-27,11-25
14_2,,no return,6-3,6-13,,
140_1,,,4-21,6-4,10-30,12-11
140_2,,,4-30,5-27,10-4,12-21
1406_1,,,7-3,7-7,11-15,11-23
1406_2,,,6-9,6-11,9-22,9-24
1409_1,,,,,,
1409_2,,no return,4-23,4-25,,
143_1,,disperser,4-25,6-20,10-29,12-2
143_2,,2 yr mig?,4-14,5-1,,
145_1,,disperser,4-14,5-17,11-18,11-28
145_2,,2 yr mig?,4-26,5-11,11-16,12-1
146_1,,,4-25,6-15,11-6,11-19
146_2,,,5-17,5-25,10-6,10-8
1463_1,,,4-11,6-26,10-29,10-31
1463_2,,,5-3,5-18,9-4,9-16
1463_3,,,5-14,5-29,9-16,9-20
1463_4,,,5-21,6-5,8-16,8-29
1463_5,,,5-23,6-2,7-26,9-8
1467_1,,,4-22,4-26,11-25,12-15
1467_2,,,4-27,4-30,9-27,10-8
1467_3,,,4-15,4-24,10-25,10-28
1467_4,,,4-14,4-18,10-4,10-10
1468_1,,,6-15,6-16,12-2,1-10
1468_2,,,4-27,5-9,11-24,1-6
1468_3,,,4-30,5-11,1-6,1-13
1468_4,,no return,4-30,5-16,,
147_1,,,5-8,6-14,11-13,12-3
147_2,,,5-8,6-9,10-9,10-23
1472_1,,,4-17,5-5,12-5,1-10
1472_2,,,4-14,4-22,11-20,1-6
1472_3,,,3-20,4-8,1-8,1-10
1472_4,,,4-8,4-13,12-17,12-24
1472_5,,,3-11,5-2,11-26,11-28
1474_1,,,5-22,5-28,11-29,12-5
1474_2,,,4-21,4-22,11-23,11-27
1474_3,,,4-25,4-29,1-1,1-18
1474_4,,,4-21,5-4,12-17,12-18
1474_5,,no return,3-31,4-1,,
1476_1,,,5-23,7-22,11-18,2-7
1476_2,,,4-16,5-11,11-9,12-27
1476_3,,,4-26,5-18,11-15,1-10
1476_4,,,4-20,5-12,11-10,12-24
1476_5,,,3-15,5-2,11-4,12-1
148_1,,,4-21,6-3,9-16,10-22
148_2,,,5-27,6-11,10-2,10-14
1482_1,,,4-1,5-25,11-25,2-12
1482_2,,,3-25,4-24,12-3,12-18
1483_1,,,4-28,4-29,10-24,10-29
